Subject,Code,Description,Professor,Core ASD,Core EPD,Core ESD,Core ISTD,Term 4,Term 5,Term 6,Term 7,Term 8,Pre-requisite,Alt-requisite,Remark
The Word and the World: Introducing Literary Theory,02.116DH,"This course critically appraises the way we read. In our highly literate world, reading is a daily practice for most people ?€? whether it is engaging a newspaper, a book, a report or postings on the social media. However, reading is not a passive process. People read a text according to certain assumptions and biases that they have. For the most part, readers are unaware of such preconceived ideas. Yet, they go on to make decisions based on these. An awareness of the process of reading makes us more conscious of our assumptions and biases, leading us to make informed judgments or decisions on a daily basis. In other words, it can help us understand how a text was designed and how to better interpret it. Designed for students with no prior knowledge of literary theory, this module aims to provide students with a basic understanding of how they can approach and interpret texts as a means of analysing them. To this end, students will be introduced to some important strategies for engaging with literary texts developed in the twentieth century and beyond, paying special attention to poststructuralist theories, their precursors and legacy. In order to concretely understand how literary theory work, students will read literary texts and films alongside the theoretical material each week. They will be guided on how to apply a specific reading strategy to explore a text or film. The sense of self-reflexivity of how we read is a transferable skill that students can use when interpreting not just literary texts but also events and problems.",,0,0,0,0,,,,,,,,
History of Traditional Chinese Short Fiction,02.120DH,"This course introduces the origin, development and the basic features of traditional Chinese short stories from Spring and Autumn and the Warring States Periods to the 18th century. Texts include historical writings, supernatural and fantastic tales, Tang-Song romance, Buddhist bian-wen and Ming-Qing vernacular stories. The course will focus on the basics of literary and cultural history, with attention given to narrative structure, popular character types and themes in traditional Chinese short fictions, as well as adaptation of traditional short fiction in contemporary Chinese cinema. All readings are in English translation. No previous knowledge of Chinese literature or the Chinese language is required.",,0,0,0,0,,,,,,,,
Classical Indian Literature and Art,02.128DH,"This course is an introduction to the artistic traditions of South Asia, focusing on literature, sculpture and painting. While the course will introduce students to classical Indian theories of aesthetics, that is, ideas about beauty, it will focus more broadly on answering universal questions about how and why we find art beautiful. You will be introduced to some of the canonical works and genres of South Asian literature, alongside the art and architecture of the period and/or region in which the various pieces of literature were composed. Though we will be looking at art in the distant past, the assignments are not historically based. Rather, you will be encouraged to explore South Asian literature and art as independent, aesthetic objects and, if you wish, as part of your assessment, you can choose to compose your own contemporary works of art using traditional South Asian ideas of beauty. In order to find further inspiration for our artistic explorations, during the course we will make a number of field trips to a temple, a museum and, hopefully, an artistic performance.",,0,0,0,0,,,,,,,,
Non-Fiction and Ethnographic Film: Theory and Practice,02.131DH,"What are the differences between documentary, ethnographic and non-fiction films? Can a ?€?documentary?€? have actors in it? How does archival footage play a role in the re-construction of events? Can one make a ?€?real?€? documentary film with a smart phone? This course provides an overview of the evolution and practice of non-fiction cinema and trains students both in film appreciation and production. We shall critically analyze the development of this shape-shifting genre over the past hundred years and consider the significance of this cinematic form in contemporary society. Ethnographic theory will be utilized toward a practical application (making a film), and contextualized within emerging trends in the Digital Humanities. Cinema-verite filming, 3-point interview lighting, the use of archival footage, and sound recording techniques will be taught in workshop styled classes.",,0,0,0,0,,,,,,,,
Being and Time,02.132DH,"This course aims to introduce students to Martin Heidegger?€?s Being and Time and why it is arguably the most important philosophical book of the 20th century, which has influenced and informed subsequent philosophical reflections. The course will teach students analytical skills of a philosophical text through close reading of the titular text, with the aid of H. Dreyfus?€?s commentary on it, Being?€?in?€?the?€?World. A Commentary on Heidegger?€?s Being and Time and a few other supplementary texts. The influence of the ideas exposed in B&T is not limited to the specialists of philosophy, but has spread to different fields of human knowledge, from Physics to Biology, from Architecture to the Arts, from Psychology to Medicine. Written in the late 1920s, M. Heidegger developed a way to understand the human being and through this understanding, a profound grasp of the essence of our present time,what he calls the accomplishment of the age of Techne, represented by the continuous development of technology. M. Heidegger?€?s thought will provide students with an understanding of their existence in an age of Techne and shed a new light on their activity in it, assisting them to evaluate their purpose, role, responsibility and burden in developing innovations.",,0,0,0,0,,,,,,,,
The Question of Technology,02.135DH,"The era of technology in which we live has widened the gap between Man and Nature. This divergence is particularly evident in the dichotomy man-made vs. nature-made. At the core of this dichotomy we find ?€?making?€?, something whose meaning we take for granted, but which in truth remains enigmatic. What is making? What happens when the human being does something? How is the human being able to make anything? What is the relation between making, the human being and the world? These questions have occupied the entirety of the Western philosophical tradition since its inception until today. They are particularly relevant today, when the development of ever more sophisticated and complex machines is making so that human activity be unneeded or irrelevant in many domains. In this course we will tackle these questions by concentrating on the reflections of Plato, Aristotle, Plotinus, Vico and Heidegger. We will read Plato?€?s Timaeus, where the concept of making is approached through the question of how things emerge in the activity of the demiurge; we will then move to Aristotle?€?s Physics B, where the making of Nature is interrogated. Plotinus?€? Ennead III 8, in which the essence of making is seen in the activity of theory, will conclude the part on ancient philosophy. With Vico and his reflection on the relation between verum and factum (?€?true?€? and ?€?production?€?) we will enter the problematic of making as it is treated in modern philosophy. Finally, with Heidegger?€?s Letter on Humanism we will be given a perspective, which, by reading under a new light the previous tradition, opens up new horizons. This course aims at introducing students to both the history of philosophy and the active practice of philosophy itself.",,0,0,0,0,,,,,,,,
Introduction to Digital Humanities,02.137DH,"This course is an introduction to the principles and methods of digital humanities, an emerging interdisciplinary field that seeks to apply digital and computational methods to investigations in the humanities. The course will focus on how computational methods and tools can contribute to the interpretive activities that typically constitute humanistic inquiry, especially to the reading of textual matter as literature. Students will be acquainted with the history of the emergence of the digital humanities and will learn about the leading methodological and epistemological issues in this emerging field. They will also learn about a few classic case studies in the field. They will also learn about the capabilities as well as limitations of computational tools for interpretation, and carry out a hands-on collaborative project as part of coursework using some of the methods that they will learn about. *This course is required for Digital Humanities Minor*",,0,0,0,0,,,,,,,,
"Making Maps 1: Introduction to Spatial Analysis, Data Visualisation and Map Design",02.221DH,"It will guide students in how to use spatial data analysis and visualization to gain insight from (geographic) data and help understand complex social, urban or scientific questions. Students will gain a sound understanding of both fundamental concepts and methods, as well as a variety of software for the analysis and visualization of geographic data, specifically the desktop GIS software and the R programming language for statistics and visualization. These are tools that are industry-standard and used in multiple disciplines, including the emerging field of data science. Student will get a thorough hands-on experience by applying these methods and techniques in a series of lab-based assignments. Interactive lectures and group discussions will additionally reflect on the use and application of maps in different disciplines and society in general. The subject will conclude with a group-based project that brings together the entire mapping workflow from initial question to the collection and analysis of data to the final visual presentation of results.",,0,0,0,0,,,,,,,,
The History of International Development in Asia: The Role of Engineers and Designers,02.104TS,Course information not available yet.,,0,0,0,0,,,,,,,,
"Slums, Squatters, and Smart Cities: History and Theory of Urban Planning",02.130TS,"This course is an introduction to the history and theory of city planning since the nineteenth century. Students will read, discuss, and evaluate a wide body of scholarly literature and primary sources related to the emergence, development and transformation of urban design and planning practices in relation to fluctuating economic, political, and social contexts. Key topics covered include the changing goals of city planning, the techniques used to intervene in the urban environment, and the evolution of political and institutional contexts in which city planning takes place.",,0,0,0,0,,,,,,,,
Digital Sociology,02.201TS,"Digital Sociology will introduce sociological theories and methods to understand digital technologies and their relation to social interaction and transactions.  We define the digital world in terms of relevant technologies of the Internet, social media, global outsourcing, digital communities, media, social networks and popular cultures.  This course aims to provide insights into the linkages between society, information and digital technology. Grounded mainly in the field of sociology, the course will examine the ways that information and digital technologies are penetrating everyday life at the level of groups, communities and institutions. The production, consumption, circulation and regulation of content embedded in digital technological products will be explored. I will invite faculty from other pillars and hold guest lectures on digital innovation and social behavior. Engineering and design students will benefit from understanding how digital products and services become agents of cultural and social transformation.",,0,0,0,0,,,,,,,,
Technology and the Self,02.204TS,"Focuses on the memoir as a window onto the relationship of the scientist, engineer, and technologist to his or her work. Studies the subjective side of technology and the social and psychological dimensions of technological change. Students write about specific objects and their role in their lives ?€? memoir fragments ?€? as a means of exploring theories of how scientific careers are born. How do a range of theories of child development help us understand the development of creativity in science and technology? How do scientific memoirs differ from those written by members of other fields? What is the range of memoir genres in science? Explores the connection between material culture, identity, cognitive and emotional development.",,0,0,0,0,,,,,,,,
The Visual Culture of Science and Technology,02.212TS,"Why does DNA take the form of a double helix? Do flow diagrams truly capture how natural processes operate? Does a supply and demand graph really capture the functioning of a ?€?free?€? market? Or do the techniques of representation shape our understandings of natural and social phenomena in ways we are unaware? In this class, students will enter the world of visual culture as it relates to the representation of scientific and social scientific knowledge and explore how technology, markets, and politics shape the ways we think about the world. Students will read scholarly articles on selected themes throughout the course. These readings will be the basis of classroom activities that include discussions, presentations, and other assignments. Upon successful completion of the class students will gain a set of conceptual tools for thinking about the nature of scientific and social scientific knowledge and visual culture.",,0,0,0,0,,,,,,,,
"Rice Cultures: Technology, Society, and Environment in Asia",02.219TS,"This course introduces students to the social scientific study of human-environment interactions through the history and culture of a single agricultural crop: rice. The cultivation of rice dates back almost 10,000 years in Asia, and forms the core of an independent origin of civilization, distinct from other Eurasian sites that were all based around wheat/barley and millet. Some scholars hypothesize that the cultivation of rice also supports a distinctive Asian form of society, and mode of historical or technological development, that differs from standard frameworks of ?€?Western?€? modernization. Today rice is one of the most intensively researched crops, as both a model organism for advanced research in genomics and an important object of genetic modification experiments. We will explore how the cultivation of rice raises exciting and provocative questions about the relationships among society, technology and environment. The course asks whether Asia?€?s history and culture of rice can provide an alternative figure of technological development and design, and perhaps a model for a sustainable relationship between humans and their natural environments.",,0,0,0,0,,,,,,,,
"How the Things People Make, Make People: Material Things in Social Life",02.220TS,"There is no denying that humans live in a material world. Whether they are naturally existing objects (such as rocks or trees) or the products of human intentional design and labor (tools, new technologies, buildings), our everyday lives are deeply and intimately entangled with material things. While we are inclined to think of these as merely the mute backdrop of human behavior, or as the products or utilitarian instruments of our purposive actions, greater reflection shows us that these material objects also act consequentially on us, and even transform us in their own image. In recent years, diverse academic disciplines across the humanities and social sciences (such as anthropology, archeology, philosophy, literary criticism, and art history and theory, among others) have begun to reverse this taken for granted view by inquiring into how, in the words of anthropologist Daniel Miller, ?€?the things that people make, make people.?€? What exactly is the nature of our social relationship with the material world and our own products?  How, for example, do things play active roles in the production and maintenance of human identities and relationships, from the structure and composition of families, to ideas about differences in class, race, ethnicity and gender? How do they come to stand as emblems of much broader political and economic orders such as nation-states and global economic structures? How do objects come to embody history or the passage of time? Antiquities, ?€?heritage objects?€? and museum artifacts are seen as representing persisting values (and evaluation) of the past, while the constant cycle of production, circulation, consumption, and obscelescence of new technologies and consumer objects gives physical form to people?€?s experiences of capitalist modernity. How do wearable technologies both old (pocket and wristwatches) and new (wireless wearable technologies) structure people?€?s experiences of time, or ideas about healthy and unhealthy human bodies or activities? How do the technologies we design to improve the conditions of human life, take on lives of their own, from the atomic bomb to computer code? This course begins to address these (and other) questions by exploring classic, foundational, and recent scholarly works within the field of ?€?material culture studies.?€? While varied in their specific orientations, the general thrust of these approaches to material things has been to empirically demonstrate how they act in and on the worlds of which they are a part. As such, objects can be subjects endowed with a particular (and rather peculiar) form of agency. To explore how this is the case, we will examine a range of scholars and practitioners whose work troubles the boundaries between given philosophical and empirical categories such as subjects and objects, production, circulation, and consumption, gifts and commodities, creative works of art, technological artifacts, and found aesthetic objects. After close in-class engagement with these orienting works, the course will culminate with students?€? production of an ?€?object ethnography?€? project, which analyzes a particular material object/thing as a window into its broader social importance, context of production, circulation, and consumption, social connectivities, and agentive influence and impact on its surrounding world.",,0,0,0,0,,,,,,,,
Unnatural Disasters,02.222TS,"When tsunamis flood cities, earthquakes turn highways to rubble, and epidemics of killer disease break out, we often blame Nature for bringing disaster onto vulnerable human populations.  To prevent future catastrophe, we place our faith in science and technology, hoping to better control Nature?€?s forces next time.  Yet the fault lines of disaster often fall along lines laid out by human activities and plans, including earlier projects of science and engineering.  Flooding in one part of New Orleans resulted from the construction of dykes in other parts, for instance; and the 3-11 tsunami?€?s most terrible outcome was due to the design and location of the Fukushima nuclear plant. In this course, we explore these human, social and cultural dimensions of natural and technological disasters.  The course begins by exploring how the idea of a ?€?natural?€? disaster, devoid of divine intervention or religious meaning, first emerged.  Through a series of cases from around the world, the course then explores why contemporary disasters can be considered ?€?unnatural:?€? how do disasters expose and exacerbate the contours of social inequality?  How has human technological intervention increased vulnerability to disaster?  How are science, technology, economy and politics implicated in disaster response?  And how can the variations of culture, belief and cosmology be included in our understanding of disasters? In their assignments, students will conduct ?€?social autopsies?€? of disasters, and will appraise how technological design and engineering can both mitigate and enhance the risk and vulnerability to disaster.",,0,0,0,0,,,,,,,,
"Building, Dwelling, Belonging: An Anthropology of Domestic and Vernacular Architecture",02.225TS,Course information not available yet.,,0,0,0,0,,,,,,,,
Design in the Anthropocene,02.228TS,"The ?€?Anthropocene?€? refers to ?€?(the) Age of Mankind?€??€?the subsequent geological age after the Holocene that denotes the significant and unprecedented impacts of human actions on different global systems. The world in the Anthropocene is quintessentially, a ?€?world as design?€?. Yet design studies have yet to be connected to, or contextualized within, the novel conditions that accompany the onset of the Anthropocene, when artificial design has unprecedentedly become the background, as well as the approach, for coordinating and supporting everyday life. What are the new categories for design in the Anthropocene? Furthermore, how do these categories and concepts modify, or even confound, what we already understand in design theory? What then are the new issues and challenges for design in the Anthropocene? In this course, existing design theory will be introduced, and explicated in relation to the Anthropocene condition through seven emerging topical issues: (i) designing with living systems 1 (human-beings); (ii) designing with living systems 2 (more-than-human agencies and other ecosystems); (iii) open systems and incomplete design; (iv) large-scale sociotechnical systems 1: Smart Cities; (v) large-scale sociotechnical systems 2: Artificial Intelligence; (vi) large-scale sociotechnical systems 3: Climate change adaptations; (vii) design ethics.",,0,0,0,0,,,,,,,,
Transportation Policy and Technology in Urban Progress,02.231TS,Course information not available yet.,,0,0,0,0,,,,,,,,
The Role of Technology and Design on Growth in China (ZJU),02.303TS,"Given the remarkable economy and society progresses achieved by modern China in the past decades, it has been a phenomenal topic of how China imports, learns, and innovates technologies and designs, as well as what exactly is the role of the technology and design in the middle of boosting the rapid development of China economy. In the context of modern China?€?s ?€?reform and open?€? policies, this course describes and explains the role of technology and design, respectively. The course covers the role of technology and design in the past, present, and future. The course introduces the relationships between technology and varieties of society, commodity, education, and so forth. Also, the course introduces the connections between modern designs and related purposes, methods, and impacts on the broad side of society. The importance of the role of technology and design in modern economy development has been widely accepted by the China administrative and other nations around the world. Therefore, the course also puts a strong emphasis on the introduction of the state-of-the-art of technologies and designs in China, as well as related roles in local communities.",,0,0,0,0,,,,,,,,
Structures & Materials,30.001,"This course introduces students to statics and the mechanics of rigid bodies. Emphasis will be on the three basic principles of equilibrium, geometric compatibility, and material behavior. The course covers the topics related to the mechanics of materials. Mechanical properties of rigid and deformable bodies; analysis and design of beams and members of structures subjected to tension, compression, torsion, bending and combined stresses. Introduction to mechanical behavior of engineering materials, and the use of materials in mechanical design.",Wu Ping; Arief Budiman; Soh Gim Song,0,1,0,0,1,0,1,0,0,,,
Circuits & Electronics,30.002,"The SUTD EPD pillar course, Circuits and Electronics, introduces the fundamentals of the lumped circuit abstraction. Topics include: resistive elements and networks; independent and dependent sources; switches and MOS transistors; digital abstraction; operational amplifiers; energy storage elements; dynamics of first and second order networks; design in the time and frequency domains; analog and digital circuits and applications. Design and lab exercises are significant components of the course.",Zhao Rong; Lee Chee Huei; Joel Yang,0,1,0,0,1,0,1,0,0,,,
Introduction To Probability & Statistics,30.003,"An introduction to statistics and probability covering essential topics. Sample space, discrete and continuous random variables, probability distributions, joint and conditional distributions, expectation, transformation of random variables, limit theorems, estimation theory, hypothesis testing, confidence interval, statistical tests, and regression.",Chen Lujie; Wu Chunfeng,0,1,0,0,1,0,1,0,0,,,
Engineering Design Innovation,30.007,"Students develop a holistic view and competency in the combined interactions of engineering design and engineering project management. Working in small teams, students carry out a design project targeting practical and functional devices. Students learn design, analysis, prototyping, testing, and project management methods to e?????ectively plan, organize, and execute an engineering project. Emphasis is placed on creativity, innovation, and the use of engineering analysis to reduce errors and iterations in the design process.",Pablo Valdivia y Alvarado; Subburaj Karupppasamy,0,1,0,0,0,1,0,1,0,,,
Systems & Control,30.101,"This course will provide students with the framework to understand, and the methods to model, analyze and design physical and engineering control systems. The topics include: Lumped parameter mathematical modelling and analysis of continuous time systems and signals in various disciplines using state-space and transfer function approaches and the Laplace transform. Analysis of linear time-invariant (LTI) systems and signals in time and frequency domains for synthesis and design of automatic feedback controllers.",Foong Shaohui; Roland Bouffanais,0,1,0,0,0,1,0,1,0,30.001,,
Electromagnetics & Applications,30.102,"This course focuses on electromagnetics (EM, Maxwell equations), the theories and applications. It includes: Transmission line theory and circuit concepts of EM waves, Resonators and waveguides, Antennas, Plane waves, Waves in different media and boundaries. The hands-on sections cover Matlab programming and commercial EM software (CST microwave studio). 1D project this year is wireless power transfer. 2D project is to apply EM to solve problems related to another discipline. The content from Physics 2 (10.005) will be recapped.",Huang Shaoying,0,0,0,0,0,1,0,1,0,,,
Fluid Mechanics,30.103,"This course will provide students with an introduction to the fundamental principles upon which an understanding and working knowledge of the behavior of fluids can be built. The course will familiarize students with important environmental and engineering challenges associated with fluid dynamics and introduce key elements for the study of fluid mechanics: properties of fluids, hydrostatics, equations of motion, control volume analysis, inviscid and viscous flows and dimensional analysis with the role of the Reynolds number. Many engineering designs require the application of fluid dynamic principles. The course will emphasize the role of fluid mechanics in design through examples in class, computational fluid dynamics (CFD) project and 2D project.",Michinao Hashimoto; Roland Bouffanais,0,0,0,0,0,1,0,1,0,,,
Dynamics,30.104,"This course, particularly relevant for Mechanical, Aerospace and Robotics engineers, focuses on the dynamics of mechanical systems. The topics studied include: kinematics, force-momentum formulation for systems of particles and rigid bodies, work-energy concepts, virtual displacements and virtual work, Lagrange?????s equations for systems of particles and rigid bodies, linearization of equations of motion, linear stability analysis, free and forced vibration of linear multi-degree of freedom models of mechanical systems. Emphasis is dedicated to the connection of these topics to realistic engineering problems thanks to ?????hands-on????? and numerical design projects.",Dario Poletti,0,0,0,0,1,0,1,0,0,,,
Machine Element Design,30.105,"This subject provides advanced knowledge for designing key machine elements and mechanisms such as bearing, shafts, gears, and springs. It also provides analytical, heuristic and case-based knowledge to make machines as integrated systems of machine elements. Emphasis is on use of core engineering knowledge, including mechanics and materials, along with design principles to ensure the machine elements remain within operational limits while yet providing the necessary system level machine requirements. Students will work in small groups to analyze and size machine elements.",Soh Gim Song,0,0,0,0,1,0,1,0,0,30.001,,
Microelectronics Circuits and Devices,30.106,"Introduction to: 1. fundamental concepts in semiconductor physics, operations of key microelectronic devices, such as diodes, BJTs and MOSFETs). 2. small signal analysis technique to understand the microelectronic circuits using microelectronic devices, such as single stage amplifier, differential amplifier, multi-stage amplifier. 3. large signal analysis technique to understand the logic circuits using microelectronic devices, such as CMOS inverter.",Cheah Chin Wei,0,0,0,0,1,0,1,0,0,30.002,,
Power Electronics,30.107,"The SUTD EPD pillar course, Power Electronics 30.107 addresses the application of electronics to energy conversion and control. Topics covered include: characteristics of power semiconductor devices; modeling, analysis, and control techniques; design of power circuits including ac-ac regulator, inverters, rectifiers, and dc-dc converters; analysis and design of magnetic components and filters; interface between power electronics equipment and utility supply; and application to power supplies, motor drives, and green energy sources.",Teo Tee Hui,0,0,0,0,1,0,1,0,0,30.002,,
Material Science,30.108,"Fundamentals of structure and energetics that underpin materials science. Structure descriptors for crystalline and non-crystalline states. The relationship between structure, processing, performance and properties of materials. Materials selection for sustainable product design and to meet engineering requirements.",Tan Mei Chee,0,0,0,0,1,0,1,0,0,30.001,,
Thermal Systems for Power & Environment,30.109,"archipelago. Overall, the course examines the multiplicity of cultures within the archipelago as fluid groupings shaped through human effort both from the top and the bottom of the social and political structures.",Massimiliano Colla; Apple Koh,0,0,0,0,1,0,1,0,0,,,
